,0,1,2
PHOG,6.56,3.52,200
PHLU,1000,1000,200
PHMU,1000,1000,200
PHJR,6.88,5.05,200
PHMK,1000,1000,200
PHNY,1000,1000,200
PHLI,6.59,3.56,200
PHDH,1000,1000,200
U36,1000,1000,200
U01,1000,1000,200
55H,1000,1000,200
U45,1000,1000,200
52U,1000,1000,200
U37,1000,1000,200
U46,1000,1000,200
U48,1000,1000,200
U51,1000,1000,200
U60,1000,1000,200
I08,1000,1000,200
U02,1000,1000,200
KBOI,4.25,4.49,200
65S,3.59,2.99,200
U03,4.59,1000,200
KBYI,4.70,4.70,200
KEUL,4.40,4.10,200
U65,1000,1000,200
U70,1000,4.50,200
C64,1000,1000,200
KLLJ,5.12,4.40,200
U72,1000,1000,200
C53,1000,1000,200
D47,1000,1000,200
ID8,1000,1000,200
U79,1000,1000,200
KCOE,4.79,4.45,200
U81,1000,1000,200
66S,1000,1000,200
S84,1000,1000,200
U82,1000,1000,200
S89,1000,1000,200
A05,1000,1000,200
C48,1000,1000,200
U58,1000,1000,200
KDIJ,4.85,3.95,200
U41,1000,1000,200
S90,1000,1000,200
S78,1000,1000,200
U86,1000,1000,200
S92,1000,1000,200
U88,1000,1000,200
U89,1000,1000,200
KGIC,5.40,5.25,200
U91,1000,1000,200
KSUN,4.30,4.20,200
U93,1000,1000,200
U94,1000,1000,200
S66,1000,1000,200
U97,1000,1000,200
U98,1000,1000,200
S81,1000,1000,200
U53,1000,1000,200
KJER,4.30,4.20,200
S73,1000,1000,200
S83,1000,1000,200
U61,1000,1000,200
U99,1000,1000,200
S82,1000,1000,200
0U0,1000,1000,200
KLWS,3.45,3.37,200
0U1,1000,1000,200
1DA,1000,1000,200
U62,1000,1000,200
0U2,1000,1000,200
0U3,1000,1000,200
KMLD,1000,1000,200
KMYL,5.35,5.49,200
24K,1000,1000,200
0U9,1000,1000,200
1U0,1000,1000,200
U92,1000,1000,200
1U1,1000,1000,200
U76,4.17,3.50,200
1U2,1000,1000,200
1U3,1000,1000,200
1U4,1000,1000,200
0S5,1000,1000,200
67S,1000,1000,200
1U6,1000,1000,200
S68,1000,1000,200
75C,1000,1000,200
1U7,1000,1000,200
S75,4.50,3.97,200
1U9,1000,1000,200
KPIH,5.25,4.44,200
1S1,1000,1000,200
2U0,1000,1000,200
U10,1000,1000,200
1S6,1000,1000,200
KRXE,4.20,3.70,200
U56,1000,1000,200
KSMN,4.68,3.86,200
KSZT,3.89,4.49,200
2U5,1000,1000,200
1S7,1000,1000,200
U87,1000,1000,200
U78,1000,1000,200
85U,1000,1000,200
U12,1000,1000,200
2U7,1000,1000,200
U63,1000,1000,200
2U8,1000,1000,200
0ID,1000,1000,200
3U0,1000,1000,200
KTWF,4.30,4.18,200
3U1,1000,1000,200
S87,1000,1000,200
I92,1000,1000,200
C00,1000,1000,200
KALN,4.70,4.32,200
K06,1000,1000,200
KBLV,4.53,2.33,200
H96,1000,1000,200
KBMI,5.45,3.34,200
1C5,3.81,3.65,200
KCIR,1000,1000,200
KCTK,1000,1000,200
KMDH,4.65,4.15,200
KCUL,4.55,2.95,200
1H8,1000,1000,200
KENL,5.17,3.83,200
KCMI,4.85,3.79,200
KORD,4.80,2.85,200
KMDW,4.80,2.85,200
KARR,4.75,3.94,200
3CK,3.79,2.55,200
KPWK,4.80,2.85,200
KRFD,5.10,4.80,200
KLOT,3.60,3.70,200
06C,5.47,5.69,200
KUGN,4.75,5.19,200
KDPA,4.46,4.33,200
C82,1000,1000,200
KDNV,4.07,3.90,200
KDKB,3.10,2.70,200
KDEC,5.74,4.79,200
C73,1000,1000,200
KDTG,1000,1000,200
1H2,4.92,3.83,200
KFWC,4.75,3.75,200
KFOA,5.00,4.00,200
C86,1000,1000,200
KGBG,3.99,3.49,200
3G8,1000,1000,200
C81,1000,1000,200
KGRE,1000,1000,200
10C,1000,1000,200
KHSB,4.55,3.80,200
0C0,1000,1000,200
H07,1000,1000,200
0C2,1000,1000,200
KIJX,1000,1000,200
KJOT,1000,1000,200
KIKK,4.79,3.95,200
3KK,1000,1000,200
KEZI,1000,1000,200
C75,1000,1000,200
KAAA,1000,1000,200
3LF,1000,1000,200
KMQB,4.91,2.66,200
KMWA,4.61,3.48,200
KMTO,4.79,4.69,200
M30,1000,1000,200
KMLI,3.99,2.99,200
C56,4.35,3.90,200
C66,1000,1000,200
KAJG,1000,1000,200
C55,1000,1000,200
I63,4.88,2.86,200
KMVN,4.94,2.39,200
0C8,1000,1000,200
KOLY,4.00,2.75,200
8N2,1000,1000,200
5K1,1000,1000,200
1C1,3.75,3.16,200
C15,1000,1000,200
KPIA,5.65,4.20,200
3MY,1000,1000,200
KVYS,4.30,2.55,200
KPJY,1000,1000,200
KPPQ,5.05,4.44,200
KPNT,3.61,3.21,200
KUIN,4.99,5.09,200
KTIP,4.85,3.85,200
KRSV,4.25,4.15,200
KRPJ,1000,1000,200
1C8,1000,1000,200
5K4,1000,1000,200
KSLO,1000,1000,200
KSFY,4.69,3.99,200
2H0,1000,1000,200
KSPI,5.75,5.12,200
KSQI,3.88,3.99,200
KTAZ,1000,1000,200
K96,1000,1000,200
C16,5.20,4.09,200
KVLA,3.95,3.45,200
2T2,1000,1000,200
2C6,1000,1000,200
KAID,1000,1000,200
KANQ,3.90,2.90,200
KGWB,4.55,3.75,200
KHLB,1000,1000,200
KBFR,1000,1000,200
1I3,1000,1000,200
KBMG,4.70,4.00,200
C40,1000,1000,200
I91,1000,1000,200
KBAK,5.45,3.62,200
KCEV,4.80,3.65,200
1I8,1000,1000,200
KCFJ,1000,1000,200
1I9,1000,1000,200
KEKM,4.00,3.89,200
3C1,1000,1000,200
78I,1000,1000,200
KEVV,5.40,5.40,200
5I2,1000,1000,200
KFWA,5.00,4.25,200
KSMD,4.50,2.80,200
KFKR,4.50,3.60,200
3FK,1000,1000,200
KFRH,4.00,3.80,200
5I6,1000,1000,200
KGSH,3.79,3.35,200
KGPC,4.50,4.00,200
KGFD,1000,1000,200
I34,4.49,3.45,200
05C,1000,1000,200
I61,1000,1000,200
64I,1000,1000,200
3HO,1000,1000,200
KHNB,4.11,3.96,200
KIND,3.60,2.90,200
KTYQ,4.55,4.65,200
KMQJ,4.55,4.29,200
KEYE,4.55,4.30,200
KUMP,4.61,4.38,200
KHFY,3.60,2.90,200
2R2,4.00,3.50,200
7L8,1000,1000,200
KJVY,5.75,5.15,200
50I,3.52,2.78,200
KOXI,1000,1000,200
KOKK,4.41,2.18,200
8I3,1000,1000,200
KPPO,1000,1000,200
KLAF,4.45,3.55,200
C98,1000,1000,200
KGGP,1000,1000,200
C97,1000,1000,200
KIMS,3.80,3.65,200
KMZZ,4.25,3.00,200
C92,1000,1000,200
KMGC,1000,1000,200
KMCX,1000,1000,200
KMIE,4.46,3.57,200
7I2,5.65,5.13,200
KUWL,4.70,3.70,200
I80,1000,1000,200
KOVO,1000,1000,200
I20,1000,1000,200
7I4,1000,1000,200
I42,1000,1000,200
KGUS,4.50,3.30,200
I76,1000,1000,200
C65,1000,1000,200
KRZL,3.26,2.93,200
KRID,4.43,3.79,200
KRCR,3.95,1.99,200
I83,1000,1000,200
3R8,1000,1000,200
KSER,3.85,2.50,200
KGEZ,1000,4.89,200
KSBN,3.99,3.95,200
KSIV,4.42,3.64,200
KTEL,3.55,2.55,200
KHUF,4.46,3.83,200
3I3,1000,1000,200
KVPZ,4.44,3.39,200
8I1,1000,1000,200
KIWH,4.02,2.50,200
KASW,3.68,3.77,200
4C2,1000,1000,200
I72,1000,1000,200
KRWN,3.81,2.93,200
I22,4.55,3.66,200
4C7,1000,1000,200
4C8,1000,1000,200
KAXA,1000,1000,200
C11,1000,1000,200
KAMW,3.75,3.00,200
Y43,1000,1000,200
KIKV,4.60,4.59,200
KAIO,3.03,1.86,200
KADU,4.39,3.49,200
Y46,1000,1000,200
KTZT,1000,1000,200
Y48,1000,1000,200
KBNW,1000,1000,200
KBRL,3.89,3.49,200
KCIN,4.00,3.00,200
KCID,3.89,2.99,200
KTVK,1000,1000,200
KCNC,1000,1000,200
KCCY,3.85,3.80,200
KCKP,1000,1000,200
KICL,1000,1000,200
KCWI,3.60,3.70,200
KCRZ,1000,1000,200
0E9,1000,1000,200
KCBF,3.65,2.79,200
KCJJ,1000,1000,200
KCSQ,1000,1000,200
KDVN,3.67,4.00,200
KDNS,3.53,1000,200
KDSM,3.75,3.00,200
KDBQ,4.19,3.72,200
IA8,1000,1000,200
KEAG,1000,1000,200
27P,1000,1000,200
I27,1000,1000,200
KEGQ,1000,1000,200
KEST,1000,1000,200
KFXY,1000,4.35,200
KFOD,3.65,3.25,200
KFSW,1000,1000,200
KGFZ,1000,1000,200
KGGI,4.00,3.50,200
6K7,1000,1000,200
KGCT,1000,1000,200
KHPT,4.29,3.52,200
0K7,1000,1000,200
KIDG,1000,1000,200
KIIB,4.40,3.68,200
6Z6,1000,1000,200
KIOW,3.89,2.99,200
KIFA,4.49,3.39,200
KEFW,1000,1000,200
KEOK,1000,1000,200
KOXV,3.75,3.45,200
0Y6,1000,1000,200
KLWD,1000,1000,200
2VA,1000,1000,200
KLRJ,4.60,3.40,200
C27,1000,1000,200
KMEY,1000,1000,200
KOQW,1000,1000,200
C17,1000,1000,200
KMCW,3.85,3.80,200
KSXK,1000,1000,200
4D8,1000,1000,200
7C3,1000,1000,200
7C5,1000,1000,200
KMXO,1000,1000,200
1Y3,1000,1000,200
KMPZ,5.35,4.10,200
1Y5,1000,1000,200
KTNU,4.95,4.59,200
5D2,1000,1000,200
KOLZ,5.05,3.85,200
D02,1000,1000,200
I75,1000,1000,200
KOOA,3.75,4.50,200
KOTM,3.60,2.98,200
1Y9,1000,1000,200
KPRO,4.10,3.40,200
KPOH,1000,1000,200
2Y0,1000,1000,200
2Y1,1000,1000,200
KRDK,1000,1000,200
8Y8,1000,1000,200
KRRQ,1000,1000,200
KSKI,1000,1000,200
KSHL,3.63,3.93,200
KSDA,1000,1000,200
KISB,1000,1000,200
KSUX,5.79,5.19,200
KSPW,3.60,3.30,200
0F3,1000,1000,200
KSLB,1000,1000,200
8C2,1000,1000,200
8C5,1000,1000,200
8C6,1000,1000,200
KVTI,1000,1000,200
KAWG,3.31,2.99,200
KALO,3.99,3.99,200
Y01,1000,1000,200
C25,1000,1000,200
KEBS,4.50,3.20,200
3Y2,4.70,3.50,200
3Y4,1000,1000,200
K78,4.93,4.20,200
KANY,1000,1000,200
2K8,1000,1000,200
K58,1000,1000,200
K59,4.96,4.25,200
KADT,1000,1000,200
K64,1000,1000,200
07S,1000,1000,200
KRPB,1000,1000,200
K61,1000,1000,200
1K1,3.60,3.99,200
5K0,1000,1000,200
8K0,1000,1000,200
KUKL,4.13,3.31,200
01K,1000,1000,200
8K8,1000,1000,200
KCYW,1000,1000,200
KCFV,3.96,3.90,200
KCBK,4.38,2.90,200
3K8,1000,1000,200
KCNK,4.39,3.60,200
9K0,1000,1000,200
K63,1000,1000,200
K65,1000,1000,200
KEQA,1000,1000,200
9K6,1000,1000,200
KEHA,1000,1000,200
1K6,1000,1000,200
9K7,1000,1000,200
KEMP,1000,1000,200
13K,1000,1000,200
KFSK,1000,1000,200
18K,1000,1000,200
1K7,1000,1000,200
KGCK,3.85,2.80,200
K34,4.65,3.40,200
K68,1000,1000,200
KGLD,3.86,2.89,200
KGBD,1000,1000,200
9KS,1000,1000,200
KHYS,4.24,2.85,200
KHRU,1000,1000,200
K87,1000,1000,200
KHLC,1000,1000,200
M66,1000,1000,200
K91,1000,1000,200
1F5,1000,1000,200
KHQG,3.95,2.96,200
KIDP,4.34,4.17,200
30K,1000,1000,200
K88,1000,1000,200
K79,1000,1000,200
KJHN,4.90,3.95,200
3JC,1000,1000,200
9K8,1000,1000,200
33K,1000,1000,200
K94,1000,1000,200
36K,1000,1000,200
KLQR,1000,1000,200
KLWC,5.25,4.95,200
3K7,1000,1000,200
KLBL,3.95,2.96,200
K71,5.00,4.00,200
38K,1000,1000,200
39K,1000,1000,200
KMHK,3.59,2.69,200
KTKO,1000,1000,200
43K,1000,1000,200
KMYZ,1000,1000,200
KMPR,1000,1000,200
KMEJ,1000,1000,200
K51,1000,1000,200
45K,1000,1000,200
K17,1000,1000,200
47K,4.19,1.95,200
2K7,1000,1000,200
48K,1000,1000,200
KEWK,1000,1000,200
KNRN,4.50,3.60,200
49K,1000,1000,200
KOEL,4.69,3.79,200
KIXD,4.50,2.83,200
KOJC,5.25,4.50,200
51K,1000,1000,200
52K,1000,1000,200
53K,1000,1000,200
K75,1000,1000,200
K67,1000,1000,200
KOWI,3.69,3.35,200
K81,1000,1000,200
KPPF,4.39,4.38,200
KPHG,1000,3.54,200
KPTS,3.24,2.95,200
1KS,1000,1000,200
0P1,1000,1000,200
KPTT,3.77,3.73,200
1QK,1000,1000,200
K50,3.79,2.39,200
K83,1000,1000,200
KSLN,4.75,3.20,200
1K9,1000,1000,200
KTQK,3.72,2.42,200
61K,1000,1000,200
62K,1000,1000,200
K82,1000,1000,200
KSYF,1000,1000,200
63K,1000,1000,200
KRCP,3.89,2.79,200
19S,1000,1000,200
3K3,1000,1000,200
KFOE,5.44,3.78,200
KTOP,3.98,3.19,200
5K2,1000,1000,200
KULS,4.00,3.00,200
69K,1000,1000,200
K38,1000,1000,200
KEGT,1000,3.10,200
KICT,3.98,4.25,200
KAAO,3.75,2.84,200
KCEA,1000,1000,200
KBEC,1000,1000,200
71K,1000,1000,200
72K,1000,1000,200
KDWU,4.30,3.99,200
KBRY,3.79,4.82,200
KBWG,4.15,3.99,200
1M9,1000,1000,200
M34,1000,1000,200
KAAS,4.50,3.75,200
I96,1000,1000,200
KCVG,4.50,3.84,200
0I8,1000,1000,200
8M7,1000,1000,200
KEKX,4.40,4.25,200
2I3,1000,1000,200
K62,1000,1000,200
KFGX,3.69,2.99,200
KFFT,3.99,3.64,200
1M7,1000,1000,200
KGLW,4.65,4.25,200
M21,3.95,3.27,200
I93,1000,1000,200
I35,3.99,2.99,200
KJQD,1000,1000,200
KCPF,5.77,4.98,200
KEHR,5.10,4.98,200
KHVC,3.13,2.77,200
KJKL,1000,1000,200
M20,1000,1000,200
KY8,3.70,3.75,200
KLEX,4.87,5.07,200
KLOZ,4.05,3.50,200
KSDF,5.20,4.75,200
KLOU,5.20,4.75,200
2I0,3.84,3.58,200
5M9,3.49,1000,200
M25,4.40,3.00,200
KEKQ,1000,1000,200
KSYM,3.74,3.50,200
KIOB,3.74,3.16,200
KCEY,3.50,3.00,200
KOWB,4.75,5.40,200
KPAH,4.60,3.40,200
KPBX,4.00,2.90,200
KSJS,3.99,2.89,200
2M0,1000,1000,200
8M9,1000,1000,200
KRGA,4.19,3.19,200
4M7,1000,1000,200
KSME,3.55,2.80,200
6I2,3.75,3.25,200
I50,1000,1000,200
KTWT,4.07,3.64,200
9I3,1000,1000,200
KBYL,1000,1000,200
KIYA,4.48,3.96,200
KAEX,3.15,3.75,200
KESF,3.15,3.76,200
5F0,1000,1000,200
KBQP,1000,1000,200
KBTR,5.07,4.99,200
KBXA,4.69,4.69,200
F86,1000,1000,200
0R7,1000,1000,200
L31,1000,1000,200
3R2,1000,1000,200
5R8,1000,1000,200
KDRI,3.50,4.21,200
0M9,1000,1000,200
F87,1000,1000,200
2R7,1000,1000,200
KGAO,3.03,3.08,200
KREG,3.28,3.49,200
KHDC,3.80,3.12,200
5F4,1000,1000,200
KHUM,4.52,4.52,200
LA3,1000,1000,200
2R1,1000,1000,200
3R7,4.00,4.60,200
F88,1000,1000,200
L32,4.00,4.00,200
5F5,1000,1000,200
KLFT,4.50,5.87,200
KCWF,2.99,3.75,200
KLCH,3.04,3.73,200
0M8,1000,1000,200
L39,3.59,2.99,200
3R4,1000,1000,200
KMKV,1000,1000,200
KMNE,3.35,2.89,200
KMLU,4.25,4.70,200
KIER,3.69,3.59,200
KARA,5.82,5.47,200
KNEW,5.64,4.45,200
KHZR,1000,1000,200
9M6,3.50,3.25,200
KACP,1000,1000,200
L47,1000,1000,200
KOPL,1000,1000,200
KPTN,4.93,4.04,200
2L0,4.52,3.50,200
L66,1000,1000,200
M79,1000,1000,200
KRSN,4.47,2.64,200
KSHV,6.11,4.88,200
KDTN,3.64,2.86,200
KASD,4.44,4.49,200
KSPH,1000,1000,200
L33,1000,1000,200
KUXL,3.25,3.00,200
KTVR,4.35,4.10,200
M80,1000,1000,200
0R4,1000,1000,200
3F4,1000,1000,200
6R1,1000,1000,200
0R5,1000,1000,200
F89,1000,1000,200
1R4,1000,1000,200
KLEW,4.44,3.98,200
KBGR,3.07,2.77,200
KBHB,5.33,4.23,200
KBST,1000,1000,200
0B1,1000,1000,200
B19,1000,1000,200
08B,1000,1000,200
0B2,1000,1000,200
KBXM,5.69,4.89,200
KCAR,1000,1000,200
ME2,1000,1000,200
43B,1000,1000,200
1B0,4.25,3.85,200
3S2,1000,1000,200
44B,1000,1000,200
KEPM,4.45,4.72,200
3B4,1000,1000,200
KFVE,5.29,4.29,200
3B1,1000,1000,200
KHUL,4.75,3.75,200
57B,1000,1000,200
59B,1000,1000,200
PG1,1000,1000,200
63B,1000,1000,200
KLRG,1000,1000,200
B10,1000,1000,200
KMVM,1000,1000,200
66B,1000,1000,200
KMLT,1000,3.90,200
KOWK,3.99,2.69,200
KOLD,4.74,3.90,200
81B,1000,1000,200
2B7,4.27,3.96,200
KPWM,4.82,3.47,200
KPNN,1000,1000,200
8B0,5.50,4.95,200
KRKD,5.60,4.30,200
98M,1000,1000,200
KSFM,1000,1000,200
93B,1000,1000,200
ME5,1000,1000,200
3B5,4.05,3.15,200
ME6,1000,1000,200
KIWI,4.54,4.50,200
KANP,1000,1000,200
KMTN,3.69,3.74,200
KBWI,3.07,3.78,200
W48,1000,1000,200
W00,1000,1000,200
KCGE,4.62,3.02,200
0W3,1000,1000,200
KCGS,1000,3.85,200
W41,1000,1000,200
KCBE,4.65,3.60,200
1W3,1000,1000,200
KESN,4.50,3.10,200
58M,1000,1000,200
W42,1000,1000,200
KFME,3.95,3.10,200
KFDK,5.15,5.41,200
KGAI,5.40,5.40,200
KHGR,5.20,6.12,200
2W5,5.30,5.20,200
W50,1000,1000,200
2W6,1000,1000,200
MD1,1000,1000,200
2G4,5.10,4.25,200
KOXB,5.00,4.15,200
KSBY,5.18,3.48,200
1N5,1000,1000,200
W29,1000,1000,200
3W3,1000,1000,200
KDMW,4.11,4.86,200
2W2,1000,1000,200
8B5,1000,1000,200
KBED,4.45,4.25,200
1M8,1000,1000,200
KBOS,4.45,4.25,200
KCQX,1000,4.54,200
1B2,1000,1000,200
5B6,4.33,7.33,200
KFIT,4.80,3.98,200
KGDM,1000,1000,200
KGBR,1000,1000,200
28M,1000,1000,200
KHYA,5.95,3.50,200
KLWM,4.99,3.90,200
1B9,1000,1000,200
KGHG,4.44,3.34,200
2B1,1000,1000,200
0B5,1000,1000,200
KACK,5.28,4.29,200
KEWB,5.40,4.25,200
2B2,1000,1000,200
7B2,1000,1000,200
KOWD,4.57,4.12,200
KORE,1000,4.70,200
KPSF,1000,3.63,200
KPYM,4.39,3.74,200
KPVC,1000,1000,200
3B0,1000,1000,200
60M,1000,1000,200
3B3,1000,1000,200
6B6,1000,1000,200
KTAN,1000,1000,200
KMVY,5.74,4.46,200
KBAF,4.75,5.35,200
KORH,5.50,6.36,200
KADG,4.99,3.89,200
35D,1000,1000,200
KAPN,5.25,5.03,200
KARB,4.24,2.74,200
Y93,1000,1000,200
39G,1000,1000,200
KBAX,3.85,2.60,200
E53,1000,1000,200
7D3,1000,1000,200
4M4,1000,1000,200
41G,1000,1000,200
3CM,1000,1000,200
KSJX,4.42,4.53,200
6Y8,1000,1000,200
KACB,4.75,5.02,200
43G,1000,1000,200
KBEH,3.99,4.50,200
C20,1000,1000,200
KRQB,4.50,4.00,200
44G,1000,1000,200
N98,1000,1000,200
KBFA,1000,1000,200
45G,1000,1000,200
6G8,1000,1000,200
KCAD,1000,1000,200
W87,1000,1000,200
KCFS,4.65,4.19,200
KCVX,4.42,4.53,200
49G,1000,1000,200
KSLH,5.00,4.00,200
2M7,1000,1000,200
50G,1000,1000,200
48D,1000,1000,200
MI1,1000,1000,200
7N4,1000,1000,200
51G,1000,1000,200
56M,1000,1000,200
55G,1000,1000,200
50D,1000,1000,200
KDTW,7.78,7.04,200
KYIP,5.00,4.45,200
KDET,4.50,6.99,200
KONZ,1000,1000,200
2E8,1000,1000,200
KDRM,1000,1000,200
29M,1000,1000,200
Y94,1000,1000,200
6D9,1000,1000,200
59M,1000,1000,200
60G,1000,1000,200
68R,1000,1000,200
2E2,1000,1000,200
Y87,1000,1000,200
9C8,1000,1000,200
KFNT,4.90,6.31,200
3DA,1000,1000,200
65G,1000,1000,200
66G,1000,1000,200
KFKS,1000,1000,200
KFFX,1000,1000,200
39Z,1000,1000,200
4Y4,1000,1000,200
KGDW,4.21,4.50,200
5M6,1000,1000,200
3GM,1000,1000,200
4D0,1000,1000,200
Y98,1000,1000,200
KGRR,6.19,6.19,200
KGOV,4.75,4.75,200
69G,1000,1000,200
H80,1000,1000,200
KCMX,1000,4.30,200
KMGN,5.65,5.45,200
4Y9,1000,1000,200
80D,1000,1000,200
5Y0,1000,1000,200
C04,1000,1000,200
9D9,1000,3.05,200
5Y1,1000,1000,200
Y95,1000,1000,200
KJYM,4.00,3.50,200
KBIV,4.99,4.79,200
KHLM,3.64,3.75,200
KHTL,1000,1000,200
5Y2,1000,1000,200
4Y1,1000,1000,200
Y65,1000,1000,200
Y88,1000,1000,200
Y70,1000,1000,200
KIMT,1000,3.99,200
Y73,1000,1000,200
KIWD,3.99,3.99,200
M61,1000,1000,200
KJXN,3.99,3.99,200
KAZO,4.10,3.80,200
4N0,1000,1000,200
Y89,1000,1000,200
24M,1000,1000,200
15W,1000,1000,200
Y91,1000,1000,200
D15,1000,1000,200
KDUH,1000,1000,200
KLAN,4.77,6.19,200
D95,4.60,3.78,200
8M8,1000,1000,200
7MI,1000,1000,200
3L7,1000,1000,200
9G2,1000,1000,200
24C,1000,1000,200
KLDM,4.33,3.03,200
KMCD,1000,1000,200
D90,1000,1000,200
75G,1000,1000,200
KMBL,4.06,3.98,200
KISQ,4.25,3.45,200
76G,1000,1000,200
77G,4.67,3.84,200
KSAW,5.00,4.58,200
KRMY,4.55,4.80,200
27C,1000,1000,200
0C5,1000,1000,200
KMNM,4.65,4.70,200
KIKW,4.29,1000,200
51M,1000,1000,200
KTTF,4.90,3.50,200
6Y0,1000,1000,200
5Y7,1000,1000,200
KMKG,4.99,4.79,200
3NP,1000,1000,200
6H4,1000,1000,200
26W,1000,1000,200
Y47,1000,1000,200
KERY,5.25,4.00,200
6Y5,1000,1000,200
3TR,3.99,2.98,200
5D5,1000,1000,200
33C,1000,1000,200
5N7,1000,1000,200
KOGM,1000,1000,200
KOSC,3.95,3.80,200
KRNP,1000,1000,200
2H4,1000,1000,200
2C5,1000,1000,200
88G,1000,1000,200
52I,1000,1000,200
61D,1000,1000,200
1D2,1000,1000,200
KPTK,3.10,1.50,200
29C,1000,1000,200
KPHN,5.00,4.60,200
M86,1000,1000,200
57D,1000,1000,200
6Y4,1000,1000,200
35C,1000,1000,200
KPZQ,1000,1000,200
D98,4.49,2.97,200
3RC,1000,1000,200
KMBS,5.67,6.34,200
KHYX,4.05,5.50,200
Y83,1000,1000,200
KANJ,1000,1000,200
KCIU,5.00,4.25,200
P97,1000,1000,200
98G,1000,1000,200
6Y9,1000,1000,200
KLWA,4.49,4.49,200
8D4,3.97,3.49,200
5Y5,1000,1000,200
83D,1000,1000,200
3S5,1000,1000,200
97G,1000,1000,200
39T,1000,1000,200
M99,1000,1000,200
38C,1000,1000,200
KIRS,3.99,3.38,200
3TE,1000,1000,200
22T,1000,1000,200
34G,1000,1000,200
7Y2,1000,1000,200
KHAI,4.15,3.30,200
Y30,1000,1000,200
KTVC,5.15,6.45,200
4M0,1000,1000,200
KVLL,5.40,4.00,200
41C,1000,1000,200
D11,1000,1000,200
Y31,4.15,3.50,200
3F5,1000,1000,200
42C,1000,1000,200
89Y,1000,1000,200
53W,1000,1000,200
4Y8,1000,1000,200
D20,1000,1000,200
Z98,1000,1000,200
D00,1000,1000,200
KAIT,3.79,4.69,200
KAEL,1000,1000,200
KAXN,3.85,3.95,200
KAQP,1000,1000,200
KAUM,1000,1000,200
7Y4,1000,1000,200
KBDE,4.79,5.10,200
KBJI,4.42,4.01,200
KBBB,3.25,3.23,200
7Y9,1000,1000,200
KFOZ,1000,1000,200
KSBU,4.25,3.25,200
9Y0,1000,1000,200
KBRD,4.39,4.27,200
KCFE,1000,1000,200
KCHU,1000,1000,200
KCBG,1000,1000,200
KCNB,4.55,3.75,200
8Y5,1000,1000,200
8Y6,1000,1000,200
KCOQ,1000,1000,200
KCKN,1000,1000,200
KDTL,4.25,4.25,200
KTOB,4.35,1000,200
KDLH,4.49,3.50,200
KDYT,1000,1000,200
9Y2,1000,1000,200
Y63,1000,1000,200
KELO,4.95,4.95,200
KEVM,3.90,3.25,200
KFBL,1000,1000,200
KFFM,3.99,3.99,200
D14,1000,1000,200
25D,1000,1000,200
KFSE,1000,1000,200
KGYL,1000,1000,200
KGHW,1000,1000,200
KCKC,4.94,4.35,200
KGPZ,4.89,4.35,200
3G2,1000,1000,200
KHCO,4.09,3.99,200
04Y,1000,1000,200
1D6,1000,1000,200
05Y,1000,1000,200
06Y,1000,1000,200
KHIB,3.99,3.43,200
04W,1000,1000,200
KHCD,4.50,4.25,200
KINL,6.98,5.50,200
KMJQ,4.50,4.22,200
23D,1000,1000,200
12Y,1000,1000,200
KLJF,2.94,4.10,200
KLXL,1000,1000,200
13Y,1000,1000,200
KXVG,1000,1000,200
KLYV,1000,3.54,200
KDXX,1000,1000,200
3N8,1000,1000,200
KMKT,4.38,4.33,200
KMGG,1000,1000,200
KMML,4.15,3.04,200
KHZX,3.74,3.79,200
18Y,1000,1000,200
KANE,4.14,4.25,200
KMSP,4.14,5.39,200
KMIC,1000,1000,200
KLVN,3.99,3.79,200
KMVE,1000,1000,200
KJKJ,4.00,2.70,200
KMZH,1000,1000,200
KJMR,4.12,3.62,200
5C3,1000,1000,200
KULM,1000,1000,200
43Y,1000,1000,200
KOVL,1000,1000,200
KORB,4.82,2.99,200
KVVV,4.00,1000,200
KOWA,3.84,3.59,200
KPKD,3.75,3.95,200
47Y,1000,1000,200
16D,1000,1000,200
KPWC,1000,1000,200
48Y,1000,1000,200
KPQN,3.95,3.85,200
KFKA,1000,1000,200
KPNM,1000,1000,200
D81,1000,1000,200
KRWF,1000,1000,200
52Y,1000,1000,200
KRST,4.93,6.30,200
KROX,4.95,4.85,200
KROS,4.19,3.39,200
55Y,1000,1000,200
D39,1000,1000,200
KDVP,1000,1000,200
Y58,1000,1000,200
D42,1000,1000,200
KSTC,5.19,4.99,200
KJYG,1000,1000,200
KSTP,5.55,5.70,200
21D,1000,1.99,200
KSYN,3.54,1000,200
KSAZ,1000,1000,200
D32,1000,1000,200
D41,1000,1000,200
12D,1000,1000,200
KTKC,1000,1000,200
KTWM,3.90,3.53,200
63Y,1000,1000,200
KADC,1000,1000,200
Y49,1000,1000,200
D37,1000,1000,200
KACQ,1000,3.39,200
KVWU,1000,1000,200
68Y,1000,1000,200
KETH,1000,1000,200
KBDH,1000,2.97,200
KMWM,4.50,3.45,200
KONA,5.03,4.04,200
10D,1000,1000,200
KOTG,1000,3.65,200
9M4,1000,1000,200
KPMU,1000,1000,200
00M,1000,1000,200
KHSA,4.75,3.75,200
01M,4.25,3.00,200
1M2,1000,1000,200
8M1,1000,1000,200
08M,1000,1000,200
09M,1000,1000,200
KCKM,4.75,2.99,200
KRNV,4.72,4.36,200
0R0,3.50,3.25,200
KUBS,1000,1000,200
KGTR,4.88,4.99,200
